,ResponseId,MainBranch,Employment,RemoteWork,EdLevel,YearsCode,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,WorkExp,ConvertedCompYearly
784,785,2,2,1,1,5,3,1,1,1,No,Straight / Heterosexual,8,1,1.0,160000
790,791,2,2,2,1,2,7,14,2,1,No,Straight / Heterosexual,4,1,0.0,55910
795,796,2,2,1,5,5,8,1,1,1,No,Straight / Heterosexual,1,1,2.0,88000
796,797,2,2,1,1,5,5,1,1,1,No,Straight / Heterosexual,5,1,1.0,238257
805,806,2,2,1,1,3,5,21,1,1,No,Straight / Heterosexual,4,2,2.0,57156
809,810,2,2,1,4,4,4,14,1,1,No,Straight / Heterosexual,2,1,4.0,87948
811,812,2,2,2,2,5,9,28,3,1,No,Straight / Heterosexual,2,1,4.0,111840
819,820,2,2,2,1,2,5,4,5,1,No,Straight / Heterosexual,2,1,0.0,60040
820,821,2,2,1,5,2,1,1,1,1,No,Straight / Heterosexual,1,1,1.0,175000
826,827,2,4,1,9,3,9,1,1,1,No,Straight / Heterosexual,3,1,1.0,100000
829,830,2,2,2,2,4,9,42,1,1,No,Straight / Heterosexual,2,5,2.0,43584
832,833,2,2,2,2,2,1,12,5,1,No,Straight / Heterosexual,2,1,0.0,49056
838,839,2,2,1,1,3,9,14,2,1,No,Straight / Heterosexual,1,1,1.0,138203
839,840,2,2,1,1,2,4,1,2,1,No,Straight / Heterosexual,9,1,1.0,150000
841,842,2,2,2,4,3,1,14,2,1,No,Straight / Heterosexual,4,1,2.0,238257
846,847,2,3,1,2,5,9,1,3,1,No,Straight / Heterosexual,11,1,4.0,238257
852,853,2,2,1,2,5,4,15,1,1,No,Straight / Heterosexual,4,1,3.0,238257
853,854,2,2,2,2,2,5,18,2,1,No,Straight / Heterosexual,13,1,1.0,24118
857,858,2,2,1,1,3,7,1,2,1,No,Straight / Heterosexual,1,1,1.0,155000
862,863,2,2,1,1,3,8,3,2,1,No,Straight / Heterosexual,13,1,1.0,238257
870,871,2,2,2,1,2,8,1,2,1,No,Straight / Heterosexual,1,1,0.0,61000
871,872,2,2,1,1,5,9,1,1,1,No,Straight / Heterosexual,1,1,4.0,178000
874,875,2,1,1,5,5,1,1,3,1,No,Straight / Heterosexual,1,1,4.0,238257
879,880,2,2,2,1,2,7,1,5,1,No,Straight / Heterosexual,1,1,0.0,89000
882,883,2,2,1,1,5,3,1,1,1,No,Straight / Heterosexual,1,1,4.0,185000
889,890,2,2,3,5,2,2,11,5,1,No,Straight / Heterosexual,1,1,0.0,5736
891,892,2,2,1,1,2,5,1,2,1,No,Straight / Heterosexual,1,1,1.0,238257
895,896,2,2,1,1,2,4,1,2,7,No,Gay or Lesbian;Queer,8,1,0.0,105000
920,921,1,2,1,1,3,4,1,2,1,No,Straight / Heterosexual,1,1,1.0,80000
923,924,2,2,1,1,2,1,14,2,1,No,Straight / Heterosexual,1,1,1.0,69102
930,931,2,2,2,1,2,5,1,2,1,No,Straight / Heterosexual,15,1,0.0,80000
936,937,2,2,2,1,3,8,43,2,1,No,Straight / Heterosexual,2,1,1.0,63986
939,940,2,2,3,5,2,2,1,5,1,No,Straight / Heterosexual,1,1,0.0,170000
940,941,2,2,1,4,5,9,16,3,1,No,Straight / Heterosexual,9,1,4.0,65820
941,942,2,2,2,1,2,1,18,2,1,No,Straight / Heterosexual,13,2,1.0,77383
943,944,2,2,1,4,2,1,1,2,1,No,Straight / Heterosexual,1,1,2.0,100000
944,945,2,2,2,1,3,5,9,1,1,No,Straight / Heterosexual,2,1,2.0,103705
950,951,2,2,2,1,2,5,1,5,1,No,Straight / Heterosexual,1,1,0.0,165000
951,952,2,2,2,2,2,1,28,2,1,No,Straight / Heterosexual,2,1,0.0,77436
953,954,2,2,2,1,3,4,33,1,1,No,Straight / Heterosexual,2,1,1.0,46872
956,957,1,1,1,2,5,4,33,1,1,No,Straight / Heterosexual,4,1,3.0,117168
959,960,2,2,1,1,3,7,18,2,1,No,Straight / Heterosexual,13,1,1.0,51589
963,964,2,2,1,1,3,4,1,2,1,No,Straight / Heterosexual,1,1,1.0,238257
969,970,2,2,1,1,2,4,6,5,1,No,Straight / Heterosexual,4,1,0.0,31908
970,971,2,2,1,7,5,5,1,1,1,No,Straight / Heterosexual,1,1,1.0,81000
971,972,2,1,1,1,3,2,1,5,1,No,Straight / Heterosexual,1,1,1.0,80000
977,978,2,2,2,1,2,1,14,5,1,No,Bisexual,1,1,0.0,37692
